ticker,momentum_20d,volatility_20d,last_price,risk_adjusted_momentum
005930.KS,0.1952663534648169,0.3670916903824907,119652.34375,0.5319280130295496
D05.SI,0.04100484811694427,0.09130572722328274,55.56564712524414,0.4490939327022646
2330.TW,0.08752910375889611,0.21526520574443386,1544.9593505859375,0.4066105502568399
000660.KS,0.21003719094591622,0.5179732683553504,649800.9375,0.4054981285285601
7203.T,0.10213466409164229,0.2757844574448467,3306.762939453125,0.37034235010168365
6861.T,0.08436961893975536,0.32573094133727176,56418.078125,0.2590162868574296
9984.T,0.12316525849342685,0.6865255670828195,4393.8671875,0.1794037460495171
RELIANCE.NS,0.01558557513090797,0.11942545919752577,1570.4000244140625,0.13050462803856538
0700.HK,-0.03309120258272802,0.17394028758360017,599.0,-0.19024461234619688
9988.HK,-0.07811485682054109,0.2596366150630728,142.8000030517578,-0.300862252427551
6758.T,-0.09410176587822705,0.22532467475739748,4008.325439453125,-0.41762743463202384
